AIRLINE_CODE;SOURCE_CODE;DESTINATION_CODE;DISTANCE;TIME
2B;GKA;MAG;1505.8102948182277;2.3528417859561763
2B;GKA;HGU;1039.7372396500136;1.7099823995172603
2B;GKA;POM;447.8629210754773;0.8936040290696239
2B;GKA;UAK;769.9893072489684;1.3379162858606461
2B;MAG;WWK;1337.7294545329735;2.121006144183412
2B;MAG;HGU;715.1671234065141;1.262299480560709
2B;MAG;GKA;891.7814721191231;1.5059054787849973
2B;MAG;LAE;950.7910932946969;1.5872980597168236
2B;HGU;WWK;1171.0918446143387;1.8911611649852949
2B;HGU;GKA;1007.5737173809013;1.6656189205253809
2B;LAE;HGU;1684.2908308836918;2.599021835701644
2B;LAE;GKA;1171.0918446143387;1.8911611649852949
2B;POM;MAG;1505.8102948182277;2.3528417859561763
2B;WWK;POM;1039.7372396500136;1.7099823995172603
2B;WWK;UAK;769.9893072489684;1.3379162858606461
2B;UAK;GKA;715.1671234065141;1.262299480560709
